company_name,location,investor_type,description,domain,industries
Origin Ventures,"Chicago, Illinois, United States",Venture Capital,Origin Ventures is a VC firm that invests in emerging software and technology-enabled B2B and B2C marketplace businesses.,originventures.com,"Business Development, Finance, Financial Services, Venture Capital"
Comdisco Ventures,"Rosamond, Illinois, United States",Private Equity Firm,"Comdisco emerged from chapter 11 bankruptcy proceedings on August 12, 2002. The purpose of reorganized Comdisco is to sell, collect or",comdisco.com,"Finance, Financial Services, Venture Capital"
Moderne Ventures,"Chicago, Illinois, United States","Micro VC, Venture Capital","Moderne Ventures is a venture fund that invests in tech real estate, mortgage, finance, insurance, and home service companies.",moderneventures.com,"Business Development, Finance, Venture Capital"
TechNexus Venture Collaborative,"Chicago, Illinois, United States","Corporate Venture Capital, Incubator, Venture Capital",Corporate innovators. Ecosystem curators. Collaborators in a new venture model.,technexus.com,"Aerospace, Audio, Automotive, Fitness, Incubators, Internet of Things, Public Safety, Recreational Vehicles, Wellness"
MK Capital,"Northbrook, Illinois, United States",Venture Capital,MK Capital is a $250 million venture capital fund with headquarters in Chicago and offices in Los Angeles and Ann Arbor.,mkcapital.com,"Banking, Finance, Venture Capital"
Impact Engine,"Chicago, Illinois, United States","Micro VC, Private Equity Firm, Venture Capital",Impact Engine is a venture capital and private equity firm that invests financial and human capital in early-stage companies.,theimpactengine.com,"EdTech, Energy Efficiency, Enterprise Software, Health Care, Impact Investing, Information Technology"
Sandbox Industries,"Chicago, Illinois, United States","Accelerator, Venture Capital","Sandbox bridges the gap between startups and corporations in three ways: strategic venture funds, accelerators, and consulting services.",sandboxindustries.com,"Financial Services, Venture Capital"
Jumpstart Ventures,"Chicago, Illinois, United States",Micro VC,JumpStart Ventures is an investment fund built to partner with entrepreneurs solving problems that need intelligent innovation.,jumpstart.vc,"Angel Investment, E-Commerce, Enterprise Software"
Illinois Ventures,"Chicago, Illinois, United States","Government Office, Venture Capital","Illinois Ventures is a seed and early-stage technology investment firm focused on research-derived companies in information technologies,",illinoisventures.com,"Financial Services, Venture Capital"
Financial Solutions Lab,"Chicago, Illinois, United States",Accelerator,"The Financial Solutions Lab cultivates, supports and scales innovations that advance the financial health of LMI and underserved individuals",finlab.finhealthnetwork.org,"Asset Management, Finance, Financial Services, FinTech, Information Technology, Non Profit"
Lakewest Venture Partners,"Chicago, Illinois, United States",Micro VC,"Lakewest Venture Partners is a real estate and private equity company, pursuing seed and early stage investment opportunities.",lakewestinc.com,"Commercial Real Estate, Financial Services, Real Estate"
KB Partners,"Highland Park, Illinois, United States",Venture Capital,KB Partners is a suburban Chicago based investment firm focused on early stage venture capital investments.,kbpartners.com,"Finance, Financial Services, Sports, Venture Capital"
Duchossois Technology Partners,"Elmhurst, Illinois, United States",Venture Capital,"Duchossois Technology Partners (DTEC) is a venture capital firm investing in early, mid, and growth stages of high potential technology",dcmllc.com,"Finance, Impact Investing, Venture Capital"
Clean Energy Trust,"Chicago, Illinois, United States","Accelerator, Startup Competition, Venture Capital","Clean Energy Trust supports early-stage startups working on solutions for clean energy, decarbonization, and environmental sustainability.",cleanenergytrust.org,"Advanced Materials, AgTech, Clean Energy, CleanTech, Energy, Energy Efficiency, Renewable Energy, Transportation"
AbbVie Biotech Ventures,"North Chicago, Illinois, United States","Corporate Venture Capital, Venture Capital","AbbVie Biotech Ventures, an Illinois-based company, makes investments in emerging biotech and pharmaceutical companies.",abbvie.com,"Biotechnology, Financial Services, Venture Capital"
Madison Dearborn Partners,"Chicago, Illinois, United States",Private Equity Firm,MDP seeks to invest in companies in partnership with outstanding management teams and achieve significant long-term value appreciation.,mdcp.com,"Finance, Financial Services, Venture Capital"
Listen,"Chicago, Illinois, United States",Micro VC,Listen is a consumer-only venture capital firm focused on backing and building the brands of tomorrow.,listen.co,"Finance, Financial Services, Venture Capital"
Harvard Business School Angels Chicago,"Chicago, Illinois, United States",Angel Group,HBS Angels of Chicago invest in and directly support promising early stage ventures.,hbsangelschicago.com,Venture Capital
Ares Management,"Chicago, Illinois, United States",Private Equity Firm,"Ares Management is a global alternative asset manager focusing on credit, private equity, and real estate.",aresmgmt.com,"Asset Management, Credit, Financial Services"
Cultivian Sandbox Ventures,"Chicago, Illinois, United States",Venture Capital,Cultivian Sandbox is a venture capital firm focused on building next-generation disruptive agriculture and food technology companies,cultiviansbx.com,
West Capital Advisors,"Chicago, Illinois, United States",Family Investment Office,"West Capital Advisors provides full-cycle corporate innovation, venture and strategic development advisory services.",westcapadv.com,"Medical Device, Social Media, Venture Capital"
I2A Fund,"Chicago, Illinois, United States",Micro VC,I2A is a seed venture capital fund that catalyzes and partners with entrepreneurial companies in the Illinois region.,i2afund.com,"Finance, Financial Services, Venture Capital"
"Creation Investments Capital Management, LLC","Chicago, Illinois, United States",Private Equity Firm,"Creation Investments seeks to offer investors a double bottom line, maximizing financial and social returns on investment.",creationinvestments.com,"Finance, Financial Services, Insurance, Leasing, Micro Lending, Payments, Venture Capital"
New Stack Ventures,"Chicago, Illinois, United States","Micro VC, Syndicate, Venture Capital",New Stack Ventures is a Chicago-based venture firm investing in early seed stage startups,newstack.vc,"E-Commerce, Education, Financial Services, Health Care, Information Technology, Internet, Manufacturing, Marketplace, SaaS, Software"
Boeing HorizonX Ventures,"Chicago, Illinois, United States","Corporate Venture Capital, Venture Capital",HorizonX Ventures is the venture capital arm of Boeing. The firm primarily invests in late seed through mid/growth stage companies.,boeing.com,"Advanced Materials, Artificial Intelligence, Cyber Security, Energy, Internet of Things, Logistics, Machine Learning, Manufacturing, Space Travel, Venture Capital"
Pallasite Ventures,"Chicago, Illinois, United States",Venture Capital,Pallasite Ventures provides early-stage financing for high-growth companies across a variety of industries.,pallasiteventures.com,Financial Services
Open Prairie,"Champaign, Illinois, United States",Venture Capital,"Open Prairie is a private equity fund manager providing fund deployment, advisory, and strategic planning services since 1997.",openprairie.com,"Angel Investment, Finance, Venture Capital"
Guggenheim Partners,"Chicago, Illinois, United States","Investment Bank, Venture Capital","Guggenheim Partners is a diversified financial services firm, offers investment management and banking, and insurance services.",guggenheimpartners.com,"Finance, Financial Services, Venture Capital"
Wintrust Ventures,"Rosamond, Illinois, United States","Corporate Venture Capital, Venture Capital",Wintrust Ventures is a trusted faciliator of innovative start-up growth in the greater Chicago community.,wintrust.com,"Business Development, Financial Services, Venture Capital"
CMT Digital Ventures LLC,"Chicago, Illinois, United States",Venture Capital,Opportunistic investments in blockchain companies and digital assets.,cmt.digital,"Blockchain, CRM, Cryptocurrency, Financial Services, FinTech, Information Technology"
Mesirow Financial,"Chicago, Illinois, United States",Private Equity Firm,Mesirow Financial is a diversified financial services firm that specializes in financial services and software.,mesirowfinancial.com,"Enterprise Software, Financial Services, Mobile"
DRW Venture Capital,"Chicago, Illinois, United States",Venture Capital,"DRW Venture Capital, an arm of principal trading firm DRW, invests primarily in financial and enterprise technology.",drwvc.com,"Financial Services, FinTech, Venture Capital"
Energy Foundry,"Chicago, Illinois, United States",Venture Capital,Energy Foundry is a Chicago-based venture fund that invests in early-stage energy and clean-tech startups.,energyfoundry.com,"Clean Energy, CleanTech, Energy, Energy Efficiency, Energy Storage, Impact Investing, Information Technology, Power Grid, Venture Capital"
William Blair,"Chicago, Illinois, United States","Investment Bank, Venture Capital",William Blair is a global investment banking and asset management firm.,williamblair.com,"Asset Management, Banking, Finance, Financial Services, Wealth Management"
Prospect Partners,"Chicago, Illinois, United States",Private Equity Firm,Prospect Partners is a leading private equity firm that invests in smaller lower-middle-market companies.,prospect-partners.com,"Financial Services, Manufacturing, Venture Capital"
New Coast Ventures,"Chicago, Illinois, United States","Micro VC, Venture Capital","New Coast Ventures is a full-service web and mobile development firm that builds solutions for Fortune 500s, startups, and even itself.",newcoastventures.com,"Computer, Consulting, Web Development"
Leo Capital Holdings,"Northbrook, Illinois, United States",Venture Capital,"Leo Capital Holdings, LLC is a privately funded venture investor making investments in early and later stage private companies.",leocapholdings.com,"Finance, FinTech, Venture Capital"
Balyasny Asset Management,"Chicago, Illinois, United States",Private Equity Firm,"Founded in 2001, BAM is a $12 billion asset management firm dedicated to delivering consistent, uncorrelated absolute returns",bamfunds.com,
Victory Park Capital,"Chicago, Illinois, United States",Private Equity Firm,"Victory Park Capital Advisors is a privately held, SEC-registered, global alternative investment firm.",victoryparkcapital.com,
Alpha Capital,"Chicago, Illinois, United States",Private Equity Firm,"Alpha Capital provides equity financing solutions and is a private equity investment firm based in Chicago, Illinois.",alphacapital.com,"Biotechnology, Financial Services, Software"
Salveo Capital,"Chicago, Illinois, United States",Private Equity Firm,Private investment fund focused on the legalized cannabis industry,salveocapital.com,Venture Capital
Zebra Ventures,"Lincolnshire, Illinois, United States",Venture Capital,Zebra Ventures is the strategic investment arm of Zebra Technologies.,zebra.com,"Business Development, Financial Services, Venture Capital"
GTCR,"Chicago, Illinois, United States",Private Equity Firm,"GTCR LLC is a private equity firm focused on leveraged buyout, leveraged recapitalization, growth capital and rollup transactions.",gtcr.com,"Finance, Financial Services"
KGC Capital,"Chicago, Illinois, United States",Venture Capital,KGC Capital is a U.S.-based venture capital firm focused on seed- and early-stage venture investments.,kgccapital.com,"Finance, Financial Services, Venture Capital"
Method Capital,"Chicago, Illinois, United States",Venture Capital,Method Capital is a Chicago-based venture capital firm specialized in growth stage investments in B2B technology companies.,method.capital,"Financial Services, FinTech, Venture Capital"
Chaifetz Group,"Chicago, Illinois, United States","Family Investment Office, Private Equity Firm, Venture Capital",Chaifetz Group is a venture capital and private equity firm specializing in early- and mid-stage growth companies.,chaifetzgroup.com,"Financial Services, Venture Capital"
Keystone Capital,"Chicago, Illinois, United States",Private Equity Firm,"Keystone Capital has followed a very different approach to investing in, and growing, companies.",keystonecapital.com,"Finance, Financial Services, Venture Capital"
R7 Partners,"Chicago, Illinois, United States","Micro VC, Venture Capital",R7 Partners is a venture capital firm that invests in early-stage companies building transformational technologies.,r7partners.com,"Enterprise Software, Finance, Transportation"
Motivate Venture Capital,"Chicago, Illinois, United States","Micro VC, Venture Capital",Motivate Venture Capital is a venture capital firm that invests in Seed-stage companies across the US and Canada.,motivate.vc,
WP Global Partners,"Chicago, Illinois, United States",Family Investment Office,"Institutional investor in venture capital, private equity, and private debt.",wpglobalpartners.com,"Finance, Financial Services, Venture Capital"
Founder Equity,"Chicago, Illinois, United States",Micro VC,Founder Equity is an Early-Stage Venture Capital fund with offices in Chicago and Dallas,founderequity.com,
Chicago Growth Partners,"Chicago, Illinois, United States",Private Equity Firm,Chicago Growth Partners (CGP) is a Midwest US based private equity firm that provides expansion and buyout capital to middle-market,cgp.com,"Biotechnology, Health Care, Venture Capital"
Chingona Ventures,"Chicago, Illinois, United States",Venture Capital,Chingona Ventures invests in founders from backgrounds and industries that are not well understood by the traditional investor.,chingona.ventures,
Ariadne Capital Limited,"Malta, Illinois, United States",Venture Capital,Ariadne Capital enables corporate who seek new digital revenues and startups who understand digital infrastructure.,ariadnecapital.com,"Business Development, Finance, Financial Services"
Cleveland Avenue,"Chicago, Illinois, United States","Accelerator, Venture Capital","Cleveland Avenue is a Chicago-based Venture Fund and Accelerator that brings unparalleled resources to Food, Beverage & Tech businesses.",clevelandavenue.com,"Consumer Goods, Food and Beverage, Retail Technology, Venture Capital"
IAN Fund,"Vermont, Illinois, United States",Venture Capital,IAN Fund is a non-profit fund designed to support the children and families of avalanche victims,ianfund.org,"Finance, Non Profit"
Bridge Investments,"Highland Park, Illinois, United States",Private Equity Firm,Chicago-based private equity and venture capital firm focused on the lower middle market (sub $5 million in EBITDA).,bridgeinvestments.com,
Fulcrum Investing,"Chicago, Illinois, United States","Family Investment Office, Micro VC",Fulcrum Investing is a family office dedicated to the advancement and assistance of start-up companies and the entrepreneurial community.,fulcruminvesting.com,
Ekistic Ventures,"Chicago, Illinois, United States","Micro VC, Venture Capital",Ekistic Ventures is a group of urban problem-solvers investing our expertise and capital to make cities more efficient and equitable.,ekistic.com,
Network Ventures,"Chicago, Illinois, United States",Micro VC,Network Ventures is a Chicago-based company that provides venture capital to seed stage companies.,networkventures.vc,
Tally Capital,"Chicago, Illinois, United States","Hedge Fund, Venture Capital",Blockchain technology represents one of the greatest generational opportunities for entrepreneurs and investors.,tallycapital.com,"Bitcoin, Cryptocurrency, Ethereum, Open Source, Venture Capital"
Lincoln Park Capital Fund,"Chicago, Illinois, United States",Venture Capital,Lincoln Park Capital Fund is a Chicago-based asset management firm focused on opportunistic investing in public and private companies.,lincolnparkcapital.com,
Equator Capital Partners,"Chicago, Illinois, United States",Private Equity Firm,Equator Capital Partners is a fund management company that invests in private sector financial enterprises.,equatorcap.net,
Synetro Group,"Chicago, Illinois, United States",Venture Capital,Synetro Group is a private investment and strategic advisory firm focused primarily on b-to-b software and business services companies.,synetro.com,"Finance, Financial Services, Venture Capital"
CIVC Partners,"Chicago, Illinois, United States",Private Equity Firm,Chicago-based private equity firm with 50 years of experience.,civc.com,"Finance, Financial Services, Venture Capital"
EMERGE Accelerator (A TechNexus Venture),"Chicago, Illinois, United States",Accelerator,"Connectors of enterprises, first responders, and cities with startups building tomorrow's technology to increase productivity and safety.",emerge.technexus.com,"Public Safety, Wearables"
Prism Capital Corporation,"Chicago, Illinois, United States",Private Equity Firm,"Prism Capital is a private equity firm specializing in growth finance, recapitalizations, and buyouts.",prismfund.com,"Health Care, Information Technology, Manufacturing"
Bluestein & Associates,"Chicago, Illinois, United States",Family Investment Office,"Bluestein & Associates is a family office based in Chicago, right in the heart of the Midwest. It was formed in 2009 and redirected in 2014.",bluesteinassociates.com,
Beecken Petty O'Keefe & Company,"Chicago, Illinois, United States",Private Equity Firm,Beecken Petty O'Keefe & Company is a private equity management firm that specializes exclusively in healthcare.,bpoc.com,"Angel Investment, Finance, Health Care"
Frontenac Company,"Chicago, Illinois, United States",Private Equity Firm,Frontenac Company is a Chicago-based private investment firm founded in 1971. We are currently investing from our tenth equity fund. We,frontenac.com,"Food and Beverage, Industrial, Venture Capital"
Driehaus Capital Management,"Chicago, Illinois, United States",Private Equity Firm,Driehaus is an investment management firm that manages growth equity investment strategies and multi-asset alternative strategies.,driehaus.com,
Mosaix Ventures,"Chicago, Illinois, United States",Private Equity Firm,Mosaix Ventures is an investment partnership focused on supporting innovative companies with exceptional potential.,mosaixventures.com,"Finance, Financial Services, Venture Capital"
Germin8 Ventures,"Chicago, Illinois, United States","Micro VC, Venture Capital",Germin8 Ventures is a leading venture capital firm actively investing with domain expertise and strategic backing in FoodTech & AgTech.,germin8ventures.com,"Impact Investing, Sustainability, Venture Capital"
Veritas Investment GmbH,"Frankfurt, Hessen, Germany",Venture Capital,"Veritas Investment GmbH is a venture capital firm located in Frankfurt, Germany.",veritas-investment.de,
Nils Regge,"Hamburg, Germany, Europe",Individual/Angel,"Nils is a serial entrepreneur and company builder with a long-standing passion for health and biomedicine. At Apollo, Nils brings deal makin...",,
Uwe Horstmann,"Berlin, Berlin, Germany","Investment Partner, Individual/Angel","Uwe co-founded investment firm Project A Ventures ($100Mn+ fund) in 2012, where he focuses on product management, internationalization and d...",,
IVC Venture Capital,"Bad Homburg, Hessen, Germany",Venture Capital,IVC Venture Capital offers early stage and expansion capital for high-growth technology companies.,ivc-venture-capital.com,
Bastian Nominacher,"Munich, Bayern, Germany",Individual/Angel,"Co-Founder and Co-CEO Responsible for EMEA & APAC, global operations, finance, HR and the overall direction for Celonis.",,
DIVEdigital,"Munich, Bayern, Germany",Venture Capital,DIVEdigital is a small investment boutique which concentrates on Israeli high tech Start-Ups.,divedigital.de,"Artificial Intelligence, Machine Learning, Manufacturing, Predictive Analytics, Robotics, Sensor"
Marcus Mosen,"Cologne, Nordrhein-Westfalen, Germany","Investment Partner, Individual/Angel",Marcus Mosen,,
Acton Capital,"Munich, Bayern, Germany",Venture Capital,"Acton Capital is a leading growth venture capital investor in tech-enabled business models, headquartered in Munich, Germany.",actoncapital.com,"Artificial Intelligence, E-Commerce, E-Commerce Platforms, E-Learning, FinTech, Health Care, Marketplace, SaaS, Venture Capital"
Voltage Ventures,"Berlin, Berlin, Germany",Venture Capital,Voltage Ventures is a venture capital firm in Berlin with extensive expertise in building global B2B and B2C technology companies.,voltage.vc,"Finance, Financial Services, FinTech"
White Owl Capital,"Berlin, Berlin, Germany","Micro VC, Venture Capital",White Owl Capital is an international investment and specialised fund and asset management group with longstanding capabilities in the,whiteowl.de,
eCAPITAL ENTREPRENEURIAL PARTNERS,"M√Љnster, Nordrhein-Westfalen, Germany","Micro VC, Venture Capital",eCAPITAL is a venture capital firm that provides early to growth stage funding to technology companies.,ecapital.vc,"Business Development, Financial Services, Venture Capital"
BayBG,"Munich, Bayern, Germany",Venture Capital,"BayBG is an equity investor in Munich, GER. BayBG invests in Bavarian SME as well as startups using both equity and mezzanine capital.",baybg.de,"Finance, Financial Services, Manufacturing, Venture Capital"
MIG,"Munich, Bayern, Germany",Venture Capital,"MIG is a leading German VC investor, focussed on early to mid-stage technology and life science companies.",mig.ag,"Finance, Financial Services, Venture Capital"
SevenVentures,"Unterf√ґhring, Bayern, Germany",Corporate Venture Capital,SevenVentures focuses on a flexible investment approach including cash investments for minority interests and media partnerships.,sevenventures.de,"News, Publishing, Venture Capital"
Momeni Digital Ventures,"Hamburg, Hamburg, Germany",Venture Capital,Momeni Digital Ventures is an PropTech investment firm.,momeni-group.com,
CVM Capital,"Dortmund, Nordrhein-Westfalen, Germany",Venture Capital,CVM Capital is a management consultancy which has focused its activities to the requirements of small and medium-sized enterprises.,cvm-gmbh.de,
SIB Innovations- und Beteiligungsgesellschaft,"Dresden, Sachsen, Germany","Private Equity Firm, Venture Capital",SIB is a investment company that provides its clients with equity financing solutions and services.,sib-dresden.de,"Information Technology, Manufacturing, Software, Venture Capital"
MAS Angel Fund,"Berlin, Berlin, Germany",Angel Group,MAS Angel Fund is an angel investment group specialized in early stage investments.,angelfund.vc,"Angel Investment, Finance, Venture Capital"
DigitalRain,"Berlin, Berlin, Germany",Angel Group,"Digital Rain identifies ambitious and talented online companies in search of capital, business connections, and expert guidance.",digitalrain.de,
Eran Davidson,"Berlin, Berlin, Germany","Investment Partner, Individual/Angel","Eran Davidson founded Davidson Technology Growth Debt fund in 2014. Eran has 20 years of venture capital experience, raised and managed 6 fu...",,
Engelhardt Kaupp Kiefer,"Stuttgart, Baden-Wurttemberg, Germany",Angel Group,"Engelhardt Kaupp Kiefer is a private equity firm based in Stuttgart, Germany.",ekkub.de,"Finance, Financial Services, Information Technology"
Ryan Hood,"Cologne, Nordrhein-Westfalen, Germany",Individual/Angel,Ryan Hood - CEO @ hood.de,,
Andrea Anderheggen,"Butzbach, Hessen, Germany",Individual/Angel,"Andrea, born in 1977, is CEO and founder of Shopgate. Before fully joining his Shopgate team in 2011 Andrea has been a co-founder and COO of...",,
HMW Innovations AG,"Pullach Im Isartal, Bayern, Germany",Venture Capital,HMW Innovations AG is a German investment company focused on the medical technology and biotechnology markets.,alfred-wieder.ag,
Felix Heberle,"Munich, Bayern, Germany",Individual/Angel,"Felix is an entrepreneur and networker at heart. Since founding his first two start-ups while studying at university, Felix has worked at le...",,
Senovo,"Munich, Bayern, Germany",Venture Capital,Senovo focuses on early stage B2B SaaS investments.,senovo.vc,"Finance, Financial Services, SaaS, Venture Capital"
Enjoyventure Management,"Düsseldorf, Nordrhein-Westfalen, Germany","Entrepreneurship Program, Private Equity Firm, Venture Capital",The EnjoyVenture Management is a private equity company that focuses its investments on the seed and early-stage companies.,enjoyventure.vc,"Finance, Financial Services, Venture Capital"
DvH Ventures,"Köln, Nordrhein-Westfalen, Germany",Venture Capital,DvH Ventures is a early-stage investors in Germany.,dvhventures.de,"Digital Media, FinTech, Venture Capital"
United Prototype,"Cologne, Nordrhein-Westfalen, Germany",Venture Capital,United Prototype is an website creator and content developer for large businesses.,unitedprototype.com,"Gaming, Incubators, Information Services, Information Technology, Social"
SHS Gesellschaft fur Beteiligungsmanagement,"T√Љbingen, Baden-Wurttemberg, Germany",Venture Capital,SHS is an independent private equity company focus on investments in the MedTech and Life Sciences sectors.,shs-capital.eu,"Analytics, Finance, Financial Services, Venture Capital"
Global Life Science Ventures,"Munich, Bayern, Germany",Venture Capital,Global Life Science Ventures is a swiss investment fund focusing exclusively on the life sciences sector.,global-life-science-ventures.com,"Financial Services, Life Science, Venture Capital"
Verena Pausder,"Berlin, Berlin, Germany",Individual/Angel,Verena Pausder,,
Michael Schmitt,"Berlin, Berlin, Germany",Individual/Angel,"Michael studied Computer Science at TU Munich and UC Santa Barbara. The dot-com bubble caused him not to finish his Ph.D., but he has come t...",,
Global Chance Fund,"Landshut, Bayern, Germany",Venture Capital,The Global Fund chance in promising innovative enterprises - and get the chance of above-average returns at above-average risk.,global-chance-fund.de,
Kazim Bahar,"Frankfurt, Hessen, Germany",Individual/Angel,"Kazim is an entrepreneur and CEO. Previously, he has more than 25 years of experience and has worked as senior solution architect in numerou...",devtrend.de,
BayTech Venture Capital,"Munich, Bayern, Germany",Venture Capital,BayTech Venture Capital is a European Venture Capital firm.,baytechventurecapital.de,"Mobile, Venture Capital, Wireless"
Peter Dietrich,"Berlin, Berlin, Germany",Individual/Angel,The lawyer Peter Dietrich worked as a headhunter at Kienbaum and Heidrick & Struggles before he became Sales Director for Enterprise Finance...,,
Holtzbrinck Digital,"Munich, Bayern, Germany",Corporate Venture Capital,"Holtzbrinck Digital investment focus is on digital businesses in the fields of Science, Education, Content and Health.",holtzbrinck-digital.com,"Content, Education, Health Care"
Christian Reitberger,"Munich, Bayern, Germany","Investment Partner, Individual/Angel",Christian Reitberger has worked with btov since 2008 вАУ initially as a Member of the Investorenkreis and a lead investor on numerous deep tec...,,
Sympasis Innovation Capital,"Ettlingen, Baden-Wurttemberg, Germany",Angel Group,Sympasis Innovation Capital was a venture capital firm that preferred to invest in companies.,sympasis.com,
Oliver Hehl,"Walldorf, Baden-Wurttemberg, Germany",Individual/Angel,Oliver Hehl,ahanya.vc,
Allianz X,"Munich, Bayern, Germany",Corporate Venture Capital,Allianz X is the digital investment unit of the Allianz Group that invests in digital growth companies related to insurance.,allianzx.com,"Banking, Information Technology, Venture Capital"
Yabeo Capital,"Grünwald, Bayern, Germany",Venture Capital,Yabeo Capital focuses on financial purposes and internet related business.,yabeo.de,Venture Capital
Holger Hengstler,"Munich, Bayern, Germany",Individual/Angel,Holger Hengstler - Member of the Board @ Wine in Black,,
Sven Kirkerup,"Hamburg, Hamburg, Germany",Individual/Angel,Sven Kirkerup - Investor @ Labstep,,
Life Science Fonds Esslingen,"Esslingen, Baden-Wurttemberg, Germany",Venture Capital,Life Science Fonds Esslingen was an investment firm in the healthcare and life science sectors.,esslingen.de,
Golden Equator Ventures,"Singapore, Central Region, Singapore",Venture Capital,Golden Equator Ventures is a Singapore-based venture capital firm that invests in high-growth technology companies in Southeast Asia.,,"Financial Services, Venture Capital"
Red Dot Ventures,"Singapore, Central Region, Singapore","Micro VC, Venture Capital","Red Dot Ventures is a venture capital firm investing in Singapore-based, seed stage high-tech startups.",reddotventures.com,"Finance, Incubators, Venture Capital"
Atlas Ventures,"Singapore, Central Region, Singapore",Venture Capital,Atlas Ventures is an early stage VC fund,atlas.ventures,
Innosight Ventures,"Singapore, Central Region, Singapore",Venture Capital,Innosight Ventures leverages more than 20 years of applied research by innovation thought leaders like Clayton Christensen and field work,innosightventures.com,"E-Commerce, Financial Services, Venture Capital"
United Overseas Bank,"Singapore, Central Region, Singapore",Venture Debt,United Overseas Bank is a bank in China that caters to SMEs with financial services.,uobgroup.com,"Banking, Finance, Financial Services"
Capikris Foundation,"Singapore, Central Region, Singapore","Angel Group, Family Investment Office","Experienced Investor in seed, pre-series A, series A and follow on stages; global, scalable and relevant technologies",,"Analytics, Angel Investment, Impact Investing, Internet, Medical, Quantum Computing"
